id,mean,median,min,max,sd,type,landcover,geometry
rural_945,0.13894050222751775,0.15947327960498908,-0.1511818863712677,0.6008003995616762,0.13751506690591694,rural,10,"c(18.1918623395135, -17.0561164432138)"
rural_946,0.18723359759358274,0.20955673272838024,-0.1283560605033674,0.4497384558123902,0.1329806408933118,rural,30,"c(0.148721846674092, 15.6585238385081)"
rural_947,0.21385730250160587,0.23190125683242258,-0.0609144550890785,0.4515669988188664,0.12391098184375884,rural,60,"c(-1.53254482046243, 19.7516712064554)"
rural_948,0.20595468106610354,0.21845746118193193,-0.1387689555556965,0.5377616313153232,0.1351748461225005,rural,30,"c(-11.3589811373689, 16.0280373661181)"
rural_949,0.16766197924897178,0.17561110958644705,-0.1798903748469068,0.4769226226744323,0.12832277586007812,rural,30,"c(13.4126947673663, 13.1282722962428)"
rural_95,0.23746621859187048,0.23715012944847408,-0.0389454185754078,0.5237187924348665,0.1252633514536856,rural,60,"c(-5.777319813358, 18.0210645755705)"
rural_950,0.16961918741090715,0.1643545374392702,-0.1154448445129925,0.5637489817017254,0.14221042313335822,rural,20,"c(2.96874464257777, 7.63644243005988)"
rural_951,0.15627506170838554,0.16233787704947295,-0.1492340172276429,0.5021699405151562,0.14214528300216525,rural,30,"c(35.0433452106371, 3.41735175822915)"
rural_952,0.18223649052067825,0.16243937155913368,-0.1091847524506918,3.126837344902325,0.3039743350896581,rural,30,"c(48.7976342833893, -15.6012831233552)"
rural_953,0.22295895847991481,0.23815224640795868,-0.0353459989103174,0.4755606420216214,0.12038114393510126,rural,60,"c(-11.0936333953031, 24.9657709988327)"
rural_954,0.14120431509552678,0.15315388254784945,-0.163196350427053,0.4034954346198461,0.13226829376735144,rural,20,"c(28.8742349923331, -20.5634626362586)"
rural_955,0.13445731388519602,0.14874840513930687,-0.1575324250720907,0.750035338649973,0.1420797951599293,rural,20,"c(14.3820770270107, -15.4963666053509)"
rural_956,0.20835886828062722,0.1860749648863224,-0.1577592993939837,3.3357200064369272,0.34143464419066794,rural,40,"c(38.5448171039024, -14.7991604148648)"
rural_957,0.16157020059856642,0.1699273956278238,-0.187842492501891,0.580068047574075,0.14478119776539733,rural,30,"c(35.4750507243201, 3.92211217072771)"
rural_958,0.17067709370035283,0.18752236256005894,-0.1223247093734083,0.3951089687424884,0.12050520258276844,rural,60,"c(1.14360020718918, 20.1696892052472)"
rural_959,0.13518699018127367,0.15320313015062176,-0.1521569092754271,0.3895598085329669,0.12922702130473399,rural,30,"c(35.3163858786931, -13.8837134229852)"
rural_96,0.1737058806504776,0.17997707625197426,-0.144687165280195,1.1718047097224014,0.17926201390922597,rural,20,"c(37.0182446959477, -14.5890842438504)"
rural_960,0.14909195187003468,0.1741611628968546,-0.1787524305269415,0.4533876141755079,0.12998601108310026,rural,30,"c(41.5518053059743, 10.1830918131672)"
rural_961,0.14596645291280533,0.15649310942164815,-0.1904765220950832,0.578395048890071,0.1338947265146053,rural,80,"c(38.012272544537, 6.47853972151366)"
rural_962,0.1920209061415923,0.20530639409986157,-0.1189465613946279,0.458871592859346,0.13482498100808055,rural,10,"c(14.5989935555352, -8.89609079068017)"
rural_963,0.13464936526141014,0.132249934494105,-0.137568342401245,0.4898046919987512,0.13571035573510873,rural,10,"c(18.5628900961299, -11.3969111073298)"
rural_964,0.19682873676780846,0.15797514704557603,-0.132038009315337,4.375677397755581,0.4197629646217859,rural,10,"c(29.5141732882664, -15.0482314585101)"
rural_965,0.22648873566654193,0.2468152027621741,-0.0359603686703098,0.4707121509122665,0.11813630509544867,rural,60,"c(-9.6339478541204, 25.6641556974767)"
rural_966,0.17972717497018967,0.18615624332761982,-0.1451836090450254,0.5505773360673636,0.1381153205952372,rural,20,"c(41.8125562010168, 4.75863542803036)"
rural_967,0.22536990541619473,0.25020327314907476,-0.074518486116901,0.5063291629628047,0.11964902794393055,rural,60,"c(-7.57293773546666, 24.5438842453205)"
rural_968,0.22689173856314612,0.23763481461198194,-0.0510946120165968,0.4897646514894352,0.12758863603029852,rural,60,"c(-16.2475492370434, 19.3944848475366)"
rural_969,0.16636283599572446,0.17583170215989663,-0.1444537000755812,2.237891629239833,0.23207969109408652,rural,20,"c(36.3591460932818, -15.1911884571808)"
rural_97,0.17435120197771173,0.1837916972969646,-0.1472788984469883,0.6313659310469042,0.1435135974004166,rural,30,"c(15.7201338071166, -9.289943761926)"
rural_970,0.14522257184163814,0.1501055347928832,-0.1519390546107972,0.453767391310132,0.12945164294742267,rural,20,"c(13.5775175752598, -13.0906106722168)"
rural_971,0.16451249413683436,0.18273728730589145,-0.1566986302816539,0.4602025135981334,0.13695797694496528,rural,20,"c(42.4138744249861, 9.12504998986107)"
rural_972,0.1843325053790628,0.18083621436784336,-0.1858666751715212,0.6518606251066986,0.1526010360991567,rural,10,"c(11.317546063605, 3.0159484910849)"
rural_973,0.20377889300940796,0.19090138063024115,-0.1193805459129373,4.230697741514262,0.39740368167819506,rural,30,"c(46.4702453922276, -15.7096436338111)"
rural_974,0.1686424615261788,0.18523684690027944,-0.1026497677199237,0.4684578667707937,0.1324067025751641,rural,30,"c(47.0777633445705, -24.7302954533954)"
rural_975,0.17848507112948664,0.1777620361263283,-0.124304900473405,2.1984720904621264,0.23644155439130524,rural,30,"c(47.0338140367592, -17.1835861167663)"
rural_976,0.15618095619544486,0.16064167525835485,-0.1380184062397872,0.8067005204753551,0.16889700018462436,rural,10,"c(12.2514102004239, 7.2037746299301)"
rural_977,0.13274841225186929,0.15708221294358893,-0.1600772210023533,0.6272079782535899,0.14360470491724933,rural,20,"c(16.7987000265122, -13.7178816067585)"
rural_978,0.2406745001257993,0.24929631399929864,-0.0314759262755901,0.4920676216902935,0.12444510567329725,rural,60,"c(-12.7438791862786, 21.1504472185673)"
rural_979,0.20564119533753247,0.21633275893882314,-0.1699686342108917,0.6701838508444852,0.1509592279823454,rural,20,"c(44.1410980993659, 5.04073748582484)"
rural_98,0.22355044100240026,0.2366059888582724,-0.057141847157435,0.4532728320949489,0.12314588490025342,rural,60,"c(-4.40684726184401, 21.2861454854638)"
rural_980,0.2230966630612304,0.23763702143003373,-0.0514034271101345,0.4661487890659559,0.11873229825701133,rural,60,"c(-2.53925222724363, 23.3983354716298)"
rural_981,0.1463829386204016,0.1604480740453002,-0.1547184088424193,0.6472632297088263,0.14651949118030352,rural,10,"c(28.6946716328585, -20.6213504159932)"
rural_982,0.2292216188597906,0.23014590114892486,-0.0375003547637437,0.4654315961155154,0.12200923878911409,rural,60,"c(-7.58619097422374, 21.7126122496053)"
rural_983,0.14316920537734404,0.14786676254105818,-0.1501340878485773,1.018441631492396,0.16276808592676262,rural,10,"c(31.0602322504695, -13.0055796149652)"
rural_984,0.23046736971637635,0.2443485395542325,-0.058584913371825,0.525085397504396,0.12934195192433826,rural,60,"c(-2.93997863569204, 18.8658930869993)"
rural_985,0.22084995315453027,0.20106664810091435,-0.1707942469799973,1.8360516628370416,0.25549751142876176,rural,10,"c(6.38781020332864, 8.31600673394045)"
rural_986,0.2076705584745026,0.2295841772461959,-0.0682958698649367,0.4466971731472823,0.1226378814724486,rural,60,"c(2.66066305746556, 19.1316885043335)"
rural_987,0.18592985588879007,0.19083878208989416,-0.1250069328516132,1.9618589078181927,0.22409816243947644,rural,10,"c(37.5157008106625, -15.5694529594039)"
rural_988,0.1772983471763667,0.17845081546189334,-0.1176829101706229,0.5992126848374173,0.13963263265489118,rural,40,"c(47.3009419012796, -21.2936242263903)"
rural_989,0.21236867228489334,0.2292363145542933,-0.0711658275452482,0.4739508361905388,0.12840217387777333,rural,60,"c(-2.18162964575018, 17.5478468704178)"
rural_99,0.20003008732012761,0.2098830478119132,-0.1195094402572454,0.493167422639138,0.12850028270667752,rural,60,"c(0.846753507156891, 17.3441387535592)"
rural_990,0.15048313623000834,0.13464166454996976,-0.1892935469781302,1.306024759004121,0.19614529583632154,rural,20,"c(19.2520162305218, -9.041825970452)"
rural_991,0.14625531431018904,0.14713132066887474,-0.2596408767886449,1.5186671817397157,0.1989390459549565,rural,10,"c(17.0683136096558, -14.4309500694492)"
rural_992,0.21558951694627865,0.23703464799185847,-0.0586223849087865,0.482019960369158,0.12303886988446947,rural,60,"c(-1.66855049955022, 20.7006083753567)"
rural_993,0.39920329509991914,0.4173929045374773,-0.2865926173114368,1.9111300209353572,0.36366278734456875,rural,10,"c(36.5432773689957, 6.63081636446616)"
rural_994,0.1370709169610023,0.1619293493966912,-0.139696904738144,0.3424461884457253,0.12930680456181293,rural,20,"c(32.14847402891, -21.6395346117699)"
rural_995,0.23492022356488326,0.2429753076142941,-0.0527060145823755,0.4999825717205566,0.12862088579077263,rural,60,"c(-8.67542007634364, 18.6322561790861)"
rural_996,0.18166515114758144,0.1892361198004583,-0.141023152437905,0.6612199810296013,0.14388574808826618,rural,10,"c(2.43702963719328, 8.28558379210093)"
rural_997,0.14350686424501768,0.14631530427063566,-0.2496349320418739,0.618563466967465,0.14436973533485598,rural,40,"c(38.2835612041156, 13.4981169381672)"
rural_998,0.1971191758235128,0.22201659424667974,-0.1053387547411412,0.4210175025489895,0.1298384932326508,rural,30,"c(-2.02322012761589, 16.0546383527281)"
rural_999,0.17379838005651632,0.19595951116831156,-0.1345285280645046,0.4970537135261124,0.1351906622783101,rural,40,"c(1.86639145363138, 11.9315362478048)"
minigrid_1,0.3034362448677324,0.1449180288738395,-0.1706822620090456,12.805,1.3198964327566476,minigrid,NA,"list(c(12.805, 12.8024680164137, 12.8001375894997, 12.798194228652, 12.7967926271252, 12.7960443479124, 12.7960089447357, 12.7966892244754, 12.7980310272421, 12.7999275405036, 12.8022278029291, 12.8047487205585, 12.8072896389197, 12.8096483118289, 12.8116369967833, 12.8130973968122, 12.8139132601809, 12.8140196352398, 12.8134080433578, 12.8121271573089, 12.8102789300237, 12.8080104808867, 12.8055023848821, 12.805, 6.92699886595148, 6.9266407043944, 6.92559473094008, 6.92394420925986, 6.92182052638378, 
6.91939273257378, 6.91685408332951, 6.91440665528039, 6.91224526084096, 6.91054194203583, 6.9094322775062, 6.9090045921761, 6.90929292795123, 6.91027433455865, 6.91187069599758, 6.91395494733723, 6.91636118738935, 6.91889788281477, 6.92136311312488, 6.92356064340495, 6.92531554541784, 6.92648812339793, 6.92698503557216, 6.92699886595148))"
minigrid_10,0.2666999452253517,0.2250401210156351,-0.0691333609802467,6.55,0.6022743267402592,minigrid,NA,"list(c(0.9667, 0.964169938360802, 0.961841279820994, 0.95989939260918, 0.958498852583938, 0.957751138486645, 0.957715759561756, 0.958395521369148, 0.959736305770376, 0.961631381569255, 0.9639299017963, 0.966448910793316, 0.968987905439941, 0.971344792085803, 0.973331969986839, 0.974791262006291, 0.975606504819102, 0.975712796657647, 0.975101666123229, 0.973821749806976, 0.971974923752753, 0.969708195779974, 0.967202003518248, 0.9667, 6.55899886595148, 6.55864070475345, 6.55759473226425, 6.55594421185401, 
6.55382053015644, 6.55139273706572, 6.54885408785704, 6.54640665914872, 6.54424526356102, 6.54254194347688, 6.54143227793662, 6.54100459217964, 6.54129292824484, 6.54227433576878, 6.54387069846466, 6.54595495100947, 6.54836119183888, 6.55089788737114, 6.55336311708428, 6.55556064624988, 6.55731554697858, 6.55848812390552, 6.5589850355863, 6.55899886595148))"
minigrid_100,0.31915479122666546,0.1986121567272424,-0.0781652235438237,9.566,0.9574178566667615,minigrid,NA,"list(c(9.566, 9.56347828645953, 9.56115730846312, 9.55922182077232, 9.55782588935291, 9.55708062736837, 9.55704535150465, 9.55772286228943, 9.55905922348925, 9.56094805742061, 9.56323901364992, 9.56574973665276, 9.56828037988151, 9.5706295113681, 9.57261014545473, 9.5740646252281, 9.5748771715214, 9.57498309973674, 9.57437397058151, 9.573098264147, 9.57125752295177, 9.56899827031947, 9.56650034702334, 9.566, 4.62499886595148, 4.62464070663245, 4.62359473919384, 4.62194422542962, 4.61982054989947, 
4.61739276057292, 4.61485411155051, 4.61240667939249, 4.61024527779566, 4.60854195101819, 4.60743228018909, 4.60700459219815, 4.60729292978138, 4.60827434210165, 4.60987071137544, 4.61195497022707, 4.61436121512411, 4.61689791121543, 4.61936313780456, 4.62156066113793, 4.62331555514621, 4.62448812656181, 4.62498503566027, 4.62499886595148))"
minigrid_101,0.40748539311086834,0.1910580153886796,-5.5,25.833,2.4351189509353812,minigrid,NA,"list(c(25.833, 25.8304749078596, 25.8281508045384, 25.8262126827993, 25.824814815754, 25.8240684771545, 25.8240330829032, 25.8247114592562, 25.8260496150837, 25.8279410371818, 25.8302351674712, 25.8327493876934, 25.8352835575369, 25.8376359484248, 25.8396193038146, 25.8410757467637, 25.8418893475107, 25.8419953505148, 25.8413853267846, 25.8401078420646, 25.8382645885526, 25.836002288827, 25.8335010168569, 25.833, -5.49100113404852, -5.4913592836076, -5.49240522481206, -5.49405570405464, -5.4961793475486, 
-5.49860711732173, -5.50114576537542, -5.50359321545174, -5.50575464826224, -5.5074580098081, -5.50856770811032, -5.50899540770572, -5.50870706223694, -5.50772562500193, -5.50612922155921, -5.50404492994737, -5.50163866392213, -5.49910196492796, -5.49663675456719, -5.49443926152908, -5.49268440242892, -5.49151185964076, -5.49101496395549, -5.49100113404852))"
minigrid_102,0.3075842245789257,0.2613989474554055,-5.96,13.26,1.334952740621469,minigrid,NA,"list(c(-5.96, -5.96258244283204, -5.96495930187029, -5.96694136445558, -5.96837085497328, -5.96913399486127, -5.96917005660726, -5.9684761919064, -5.9671076514552, -5.9651733810492, -5.96282734638884, -5.96025627810616, -5.95766481228929, -5.95525920798301, -5.95323093571608, -5.9517414413057, -5.95090929622507, -5.95080075690966, -5.95142448522894, -5.952730852093, -5.95461588178257, -5.95692952495344, -5.95948760286756, -5.96, 13.2689988659515, 13.2686406980913, 13.2675947076947, 13.2659441637206, 
13.2638204601564, 13.2613926537201, 13.2588540038516, 13.2564065873747, 13.2542452130926, 13.2525419167395, 13.2514322699506, 13.251004592114, 13.2512929227971, 13.2522743133159, 13.25387065269, 13.2559548828738, 13.2583611092809, 13.2608978028305, 13.2633630436194, 13.2655605934632, 13.2673155180195, 13.2684881144874, 13.268985035324, 13.2689988659515))"
minigrid_103,0.5285049061929745,0.1787700852165297,-0.1585512316932925,39.266,3.5940651157591375,minigrid,NA,"list(c(39.266, 39.263482832801, 39.2611660368723, 39.2592340324424, 39.2578406078252, 39.2570966776345, 39.2570614546039, 39.2577377375382, 39.2590716900731, 39.2609571273709, 39.2632439691221, 39.2657501857802, 39.26827628716, 39.2706212004053, 39.2725982738889, 39.2740501336017, 39.2748612097976, 39.2749669368764, 39.274358894031, 39.273085477082, 39.2712480475427, 39.2689928650186, 39.2664994448781, 39.266, 3.09199886595148, 3.09164070811436, 3.09059474465903, 3.08894423613638, 3.08682056547036, 
3.08439277911257, 3.08185413023712, 3.07940669535842, 3.07724528902232, 3.07554195696592, 3.07443228196558, 3.07400459221274, 3.07429293099323, 3.07527434709629, 3.07687072155799, 3.0789549853837, 3.08136123348877, 3.08389793002096, 3.08636315414619, 3.08856067287977, 3.09031556158782, 3.09148812865676, 3.09198503571861, 3.09199886595148))"
minigrid_104,0.6244090676205492,0.2999902913359774,-0.1123505180825984,40.3191,3.6730188512599016,minigrid,NA,"list(c(40.3191, 40.316586492489, 40.3142730603266, 40.3123438528136, 40.3109524348862, 40.3102095633431, 40.3101743706292, 40.310849657936, 40.3121816722729, 40.3140643852412, 40.316347932909, 40.3188505449714, 40.3213730136404, 40.3237145505457, 40.3256887694502, 40.3271385225643, 40.3279484094975, 40.3280539631392, 40.3274467812729, 40.3261751954377, 40.3243404237831, 40.3220885141333, 40.3195987185829, 40.3191, 0.101598865951479, 0.101240710994735, 0.100194755281655, 0.0985442569470432, 0.0964205957354877, 
0.0939928151481872, 0.0914541665585166, 0.0890067263917063, 0.0868453108438499, 0.0851419685267054, 0.0840322854186051, 0.0836045922411116, 0.0838929333487464, 0.0848743568045476, 0.0864707413500682, 0.0885550148439267, 0.0909612691843975, 0.0934979665733859, 0.0959631859094208, 0.098160695702333, 0.0999155741082985, 0.10108813272868, 0.101585035832012, 0.101598865951479))"
minigrid_105,0.2662011513296219,0.2385942350493695,-0.1194854036354697,6.5167,0.6005714296155242,minigrid,NA,"list(c(1.05, 1.04747010698449, 1.04514160359302, 1.04319984566799, 1.04179939876822, 1.04105173424432, 1.04101635744036, 1.04169607380246, 1.04303676885691, 1.0449317185443, 1.0472300859281, 1.04974892748242, 1.05228775336335, 1.05464448330062, 1.05663152898554, 1.05809072379421, 1.05890591215872, 1.05901219668941, 1.05840110662419, 1.05712127538162, 1.05527457226118, 1.05300799529429, 1.05050197005891, 1.05, 6.52569886595148, 6.52534070478591, 6.52429473238397, 6.52264421208856, 6.52052053049755, 
6.51809273747186, 6.5155540882664, 6.51310665949848, 6.51094526380696, 6.50924194360717, 6.50813227797554, 6.50770459217996, 6.50799292827139, 6.5089743358782, 6.51057069868773, 6.5126549513415, 6.51506119224118, 6.5175978877831, 6.52006311744227, 6.52226064650711, 6.5240155471197, 6.52518812395142, 6.52568503558758, 6.52569886595148))"
