site_name,site_type,date_commissioned,image_date,image_value,mean_image_value,min_image_value,max_image_value,site_id,year_commissioned,year_image,month_commissioned,month_image,group,time_period
tree_33,tree,2014-01-01,2019-11-01,0.104757234893049,0.2179566845081665,-0.4652406437959435,0.9011540128122764,107,2014,2019,1,11,0,70
tree_34,tree,2014-01-01,2019-11-01,0.125214609526723,0.22316488522151903,-0.46003244308259095,0.906362213525629,108,2014,2019,1,11,0,70
tree_35,tree,2014-01-01,2019-11-01,0.1803207115899859,0.19015846573921005,-0.4930388625648999,0.87335579404332,109,2014,2019,1,11,0,70
tree_36,tree,2014-01-01,2019-11-01,0.1453211270973054,0.1955549631071296,-0.48764236519698034,0.8787522914112396,110,2014,2019,1,11,0,70
tree_37,tree,2014-01-01,2019-11-01,0.1801866426635429,0.2232365897204118,-0.4599607385836981,0.9064339180245218,111,2014,2019,1,11,0,70
tree_38,tree,2014-01-01,2019-11-01,0.1316316307461044,0.2068521119946949,-0.47634521630941506,0.8900494402988048,112,2014,2019,1,11,0,70
tree_39,tree,2014-01-01,2019-11-01,0.0870664350802833,0.20830195843157348,-0.4748953698725365,0.8914992867356835,113,2014,2019,1,11,0,70
tree_40,tree,2014-01-01,2019-11-01,0.109575407864985,0.4221498518997111,-0.26104747640439885,1.105347180203821,115,2014,2019,1,11,0,70
tree_41,tree,2014-01-01,2019-11-01,0.0653396198891491,0.26055652884465474,-0.4226407994594552,0.9437538571487648,116,2014,2019,1,11,0,70
tree_42,tree,2014-01-01,2019-11-01,0.1599754572786818,0.2626369619104255,-0.4205603663936845,0.9458342902145356,117,2014,2019,1,11,0,70
tree_43,tree,2014-01-01,2019-11-01,0.1977490088176942,0.21006846571147825,-0.4731288625926317,0.8932657940155881,118,2014,2019,1,11,0,70
tree_44,tree,2014-01-01,2019-11-01,0.1369580289604899,0.23882043908914932,-0.44437688921496066,0.9220177673932592,119,2014,2019,1,11,0,70
