id,center,image_date,image_value,type,mean_image_value,min_image_value,max_image_value
water_8,"[-12.95378131275941, 8.84245278002366]",2022-02-01,0.2524877803075101,water,0.20773583002369334,-0.4754614982804166,0.8909331583278033
water_9,"[-12.935815007084505, 8.842452780012373]",2022-02-01,0.3417309165115997,water,0.20909750061707758,-0.4740998276870324,0.8922948289211875
water_10,"[-12.96276446559519, 8.833469627186803]",2022-02-01,0.253788236684671,water,0.19968270369924393,-0.48351462460486605,0.8828800320033539
water_11,"[-12.055466028685446, 8.51905927773385]",2022-02-01,0.7608540080592293,water,0.3013672692560187,-0.38183005904809125,0.9845645975601287
water_12,"[-12.94479815997975, 8.258547845352313]",2022-02-01,0.2339737481586073,water,0.20900906525277138,-0.47418826305133854,0.8922063935568814
water_13,"[-12.055466028691816, 8.240581539665405]",2022-02-01,0.2581896647604599,water,0.2152102197749603,-0.46798710852914965,0.8984075480790703
water_14,"[-12.944798159973324, 8.159733164099736]",2022-02-01,0.2136725179046064,water,0.21610745309833396,-0.467089875205776,0.899304781402444
water_15,"[-11.23799912014679, 8.132783705572672]",2022-02-01,0.2703892328391516,water,0.2296607549378656,-0.4535365733662443,0.9128580832419756
water_16,"[-12.863949784393467, 8.087867941373343]",2022-02-01,0.2290449210881793,water,0.19090372961503527,-0.4922935986890747,0.8741010579191453
water_17,"[-12.819034020208475, 8.087867941376794]",2022-02-01,0.2258817269606529,water,0.19727799840987753,-0.4859193298942324,0.8804753267139875
water_18,"[-12.100381792913568, 8.069901635684584]",2022-02-01,0.2682807739599933,water,0.20891421396700263,-0.47428311433710735,0.8921115422711126
water_19,"[-10.779858325253915, 8.060918482844635]",2022-02-01,0.2656547245444106,water,0.22525256985498654,-0.4579447584491234,0.9084498981590965
water_20,"[-10.851723548002868, 7.989053260113526]",2022-02-01,0.2995181009311036,water,0.22913696162873876,-0.4540603666753712,0.9123342899328487
water_21,"[-11.552409469607992, 7.890238578863231]",2022-02-01,0.2432357855347439,water,0.2177600933924756,-0.46543723491163436,0.9009574216965855
